{{Mod
|id                               = AbyssMinionLifeJewel1_
|mod_groups                       = MinionLife
|domain                           = 13
|generation_type                  = 2
|required_level                   = 1
|name                             = of Fortitude
|mod_type                         = MinionLifeForJewel
|stat_text                        = [[Minion|Minions]] have (8-12)% increased maximum [[Life]]
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = 8
|stat1_max                        = 12
|spawn_weight1_tag                = abyss_jewel_summoner
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, life, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
