{{Mod
|id                               = LocalElementalPenetrationUnique__1
|mod_groups                       = ElementalPenetration
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LocalElementalPenetration
|stat_text                        = [[Attack|Attacks]] with this Weapon Penetrate 30% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = local_elemental_penetration_%
|stat1_min                        = 30
|stat1_max                        = 30
|tags                             = elemental_damage, damage, elemental, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
