{{Mod
|id                               = ElementalPenetrationUber1
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Shaper's
|mod_groups                       = ElementalPenetration
|mod_type                         = ElementalPenetration
|game_mode                        = 0
|stat_text                        = Damage Penetrates (4-7)% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = reduce_enemy_elemental_resistance_%
|stat1_min                        = 4
|stat1_max                        = 7
|spawn_weight1_tag                = amulet_shaper
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, influence_mod, damage, elemental
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
