{{Mod
|id                               = ChanceToShockAddedDamageInfluence1
|mod_groups                       = AilmentChanceAddedDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = Crusader's
|mod_type                         = ChanceToShockAddedDamage
|stat_text                        = Adds (3-7) to (68-73) [[Lightning Damage]] against [[Shock|Shocked]] Enemies
|stat1_id                         = global_minimum_added_lightning_damage_vs_shocked_enemies
|stat1_min                        = 3
|stat1_max                        = 7
|stat2_id                         = global_maximum_added_lightning_damage_vs_shocked_enemies
|stat2_min                        = 68
|stat2_max                        = 73
|spawn_weight1_tag                = ring_crusader
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, damage, elemental, lightning, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
