{{Item
|rarity_id                               = normal
|name                                    = Synthesising Fragment
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = When memories become twisted by a corrupted mind,<br> history is rewritten, time after time.
|drop_level                              = 84
|tags                                    = default
|metadata_id                             = Metadata/Items/MapFragments/CurrencyUberBossKeyCortex
|help_text                               = Use five of these in a personal Map Device to open Portals to The Cortex. Can only be used once.
|stack_size                              = 1
|description                             = The Cortex is level 85<br>Venarius' full power is unleashed in the Cortex
|stack_size_currency_tab                 = 5000
}}
