{{Passive skill
|id                                  = doom_cast1045
|int_id                              = 61981
|name                                = Doom Cast
|is_notable                          = True
|icon                                = doomcast
|stat1_id                            = spell_critical_strike_chance_+%
|stat1_value                         = 60
|stat2_id                            = base_spell_critical_strike_multiplier_+
|stat2_value                         = 15
|stat_text                           = 60% increased [[Critical Strike Chance]] for [[Spell|Spells]]<br>+15% to [[Critical Strike Multiplier]] for [[Spell Damage]]
|connections                         = spell_critical_strike_multi1707,mastery_criticals62,mastery_criticals62,spell_critical_strike_chance1706,spell_critical_strike_multi1707
}}
