{{Mod
|id                               = DisplaySupportedByUnleashUnique__1
|mod_groups                       = Supported
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportHandcastAnticipation
|mod_type                         = DisplaySupportedByUnleash
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 18 Unleash
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_unleash
|stat1_min                        = 18
|stat1_max                        = 18
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
