{{Mod
|id                               = CannotGainEnduranceChargesUnique__2
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CannotGainEnduranceCharges
|mod_type                         = CannotGainEnduranceCharges
|game_mode                        = 0
|stat_text                        = Cannot gain [[Endurance Charge|Endurance Charges]]
|stat1_id                         = base_cannot_gain_endurance_charges
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = endurance_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
