{{Mod
|id                               = AddedDamagePerStrengthUnique__2
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = PhysicalDamage
|mod_type                         = AddedDamagePerStrength
|game_mode                        = 0
|stat_text                        = Adds 8 to 24 [[Physical Damage]] to [[Attack|Attacks]] per 25 [[Strength]]
|stat1_id                         = attack_minimum_added_physical_damage_per_25_strength
|stat1_min                        = 8
|stat1_max                        = 8
|stat2_id                         = attack_maximum_added_physical_damage_per_25_strength
|stat2_min                        = 24
|stat2_max                        = 24
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
