{{Mod
|id                               = WeaponTreeMinionAccuracy2h2
|mod_groups                       = MinionAccuracyRating
|domain                           = 1
|generation_type                  = 31
|required_level                   = 30
|mod_type                         = WeaponTreeMinionFlatAccuracyRating
|stat_text                        = [[Minion|Minions]] have +400 to [[Accuracy Rating]]
|stat1_id                         = minion_accuracy_rating
|stat1_min                        = 400
|stat1_max                        = 400
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = weapon_can_roll_minion_modifiers
|spawn_weight2_value              = 5000
|spawn_weight3_tag                = minion_unique_weapon
|spawn_weight3_value              = 5000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
}}
