{{Item
|rarity_id                               = normal
|name                                    = Ultimatum Scarab of Inscription
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = There is always a wager to be made... if you can afford it.
|drop_level                              = 73
|tags                                    = scarab, scarab_grants_extra_content, ultimatum_scarab, rare_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabUltimatum5
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Ultimatum Encounter rewards in Area offering Catalysts<br>will offer Inscribed Ultimatums to the Map Owner instead
|stack_size_currency_tab                 = 5000
|map_fragment_bonus1                     = ScarabUltimatumNew5
}}
