{{Mod
|id                               = VillageAttackFireDamageMaximumMana
|mod_groups                       = AttackDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AttackFireDamageMaximumMana
|stat_text                        = Adds 5% of your Maximum [[Mana]] as [[Fire Damage]] to [[Attack|Attacks]] with this Weapon
|stat1_id                         = attacks_with_this_weapon_maximum_mana_%_to_add_as_fire_damage
|stat1_min                        = 5
|stat1_max                        = 5
|tags                             = elemental_damage, village_runesmithing_enchant, damage, elemental, fire, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
