{{Mod
|id                               = PhysicalBowDamageCloseRangeUniqueBow6
|mod_groups                       = PhysicalBowDamageAtCloseRange
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChinSolPhysicalBowDamageAtCloseRange
|stat_text                        = 50% more Damage with Arrow [[Hit|Hits]] at Close Range
|stat1_id                         = unique_chin_sol_close_range_bow_damage_+%_final
|stat1_min                        = 50
|stat1_max                        = 50
|tags                             = damage, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
