{{Mod
|id                               = AbyssMinionAddedChaosDamageJewel4
|mod_groups                       = MinionAddedChaosDamage
|domain                           = 13
|generation_type                  = 1
|required_level                   = 65
|name                             = Malignant
|mod_type                         = MinionAddedChaosDamage
|stat_text                        = [[Minion|Minions]] deal (14-17) to (20-23) additional [[Chaos Damage]]
|stat1_id                         = minion_global_minimum_added_chaos_damage
|stat1_min                        = 14
|stat1_max                        = 17
|stat2_id                         = minion_global_maximum_added_chaos_damage
|stat2_min                        = 20
|stat2_max                        = 23
|spawn_weight1_tag                = abyss_jewel_summoner
|spawn_weight1_value              = 700
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = chaos_damage, damage, chaos, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
