{{Passive skill
|id                                  = affliction_notable_unwaveringly_evil
|int_id                              = 38592
|name                                = Unwaveringly Evil
|is_notable                          = True
|icon                                = IncreasedChaosDamage
|stat1_id                            = chaos_damage_+%
|stat1_value                         = 30
|stat2_id                            = cannot_be_stunned_while_using_chaos_skill
|stat2_value                         = 1
|stat_text                           = 30% increased [[Chaos Damage]]<br>Chaos [[Skill|Skills]] ignore interruption from Stuns
}}
