{{Mod
|id                               = ArborixMoreDamageAtCloseRangeUnique__1
|mod_groups                       = ArborixMoreDamageAtCloseRange
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ArborixMoreDamageAtCloseRange
|stat_text                        = 30% more Damage with Arrow [[Hit|Hits]] at Close Range while you have Iron Reflexes
|stat1_id                         = unique_bow_arborix_close_range_bow_damage_+%_final_while_have_iron_reflexes
|stat1_min                        = 30
|stat1_max                        = 30
|tags                             = damage, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
