{{Mod
|id                               = MonsterTotemAuraResists1
|mod_groups                       = MonsterAura
|domain                           = 3
|generation_type                  = 3
|required_level                   = 4
|granted_buff_id                  = monster_aura_resists
|granted_buff_value               = 60
|mod_type                         = MonsterAuraResists
|stat_text                        = +35% to all [[Elemental Resistance|Elemental Resistances]] (Hidden)
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 35
|stat1_max                        = 35
|tags                             = elemental, resistance
}}
