{{Mod
|id                               = JunMaster2AlwaysHits1
|mod_groups                       = AlwaysHits
|domain                           = 9
|generation_type                  = 1
|required_level                   = 60
|name                             = Vagan's
|mod_type                         = AlwaysHits
|stat_text                        = [[Hit|Hits]] can't be Evaded
|stat1_id                         = local_always_hit
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = bow
|spawn_weight1_value              = 0
|spawn_weight2_tag                = wand
|spawn_weight2_value              = 0
|spawn_weight3_tag                = weapon
|spawn_weight3_value              = 0
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = unveiled_mod, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
