{{Mod
|id                               = EnchantmentSummonIceGolemDamage1
|mod_groups                       = SkillEnchantment
|domain                           = 1
|generation_type                  = 10
|required_level                   = 66
|name                             = Enchantment Summon Ice Golem Damage 1
|mod_type                         = EnchantmentSummonIceGolemDamage
|stat_text                        = [[Summon Ice Golem|Ice Golems]] deal 25% increased Damage
|stat1_id                         = ice_golem_damage_+%
|stat1_min                        = 25
|stat1_max                        = 25
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
