{{Passive skill
|id                                  = two_handed_weapon_damage12
|int_id                              = 60169
|name                                = Two Handed Melee Damage
|icon                                = 2handeddamage
|stat1_id                            = two_handed_melee_physical_damage_+%
|stat1_value                         = 16
|stat2_id                            = two_handed_melee_weapon_ailment_damage_+%
|stat2_value                         = 16
|stat_text                           = 16% increased [[Physical Damage]] with [[Two Handed Melee Weapons]]<br>[[Attack|Attacks]] with [[Two Handed Melee Weapons]] deal 16% increased Damage with Ailments
|connections                         = butchery641,attack_speed1889
}}
