{{Mod
|id                               = MapMonsterChainPathOfEndurance
|mod_groups                       = MapMonsterChain
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MapMonsterChain
|stat_text                        = Monsters' [[Skill|skills]] Chain 2 additional times
|stat1_id                         = map_monster_skills_chain_X_additional_times
|stat1_min                        = 2
|stat1_max                        = 2
}}
