{{Passive skill
|id                                  = affliction_notable_vital_focus
|int_id                              = 54382
|name                                = Vital Focus
|is_notable                          = True
|icon                                = DmgWhenChannelSkillsNotable
|stat1_id                            = life_regeneration_per_minute_%_while_channelling
|stat1_value                         = 90
|stat2_id                            = channelled_skill_damage_+%
|stat2_value                         = 30
|stat_text                           = Regenerate 1.5% of [[Life]] per second while Channelling<br>Channelling [[Skill|Skills]] deal 30% increased Damage
}}
