{{Base item
|rarity_id                               = normal
|name                                    = The Cartographer
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = My son, you lost your way before you arrived.<br>To never lose you again,<br>I make a path in my heart.
|drop_level                              = 39
|tags                                    = currency_divination, currency_basic_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheCartographer
|stack_size                              = 1
|description                             = {{c|currency|10x {{il|html=|Cartographer's Chisel}}}}
|stack_size_currency_tab                 = 5000
}}
