{{Mod
|id                               = IncreasedAccuracySupportedUber2
|domain                           = 1
|generation_type                  = 2
|required_level                   = 75
|name                             = of the Elder
|mod_groups                       = IncreasedAccuracyPercent
|granted_skill                    = SupportAdditionalAccuracy
|mod_type                         = IncreasedAccuracyPercentSupported
|game_mode                        = 0
|stat_text                        = (11-15)% increased Global [[Accuracy Rating]]<br>[[Item socket|Socketed]] Gems are supported by [[Additional Accuracy Support|Level 18 Additional Accuracy]]
|stat1_id                         = accuracy_rating_+%
|stat1_min                        = 11
|stat1_max                        = 15
|stat2_id                         = local_display_socketed_gems_get_additional_accuracy_level
|stat2_min                        = 18
|stat2_max                        = 18
|spawn_weight1_tag                = gloves_elder
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, influence_mod, attack, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
