{{Mod
|id                               = SpellAddedChaosDamageEldritchImplicit4
|mod_groups                       = SpellAddedChaosDamage
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = SpellAddedChaosDamage
|stat_text                        = Adds (10-13) to (20-23) [[Chaos Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_chaos_damage
|stat1_min                        = 10
|stat1_max                        = 13
|stat2_id                         = spell_maximum_added_chaos_damage
|stat2_min                        = 20
|stat2_max                        = 23
|spawn_weight1_tag                = no_tier_3_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = helmet
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = caster_damage, chaos_damage, damage, chaos, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
