{{Mod
|id                               = FireAndLightningResistImplicitRing1
|mod_groups                       = FireAndLightningResistance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 25
|mod_type                         = FireAndLightningResistance
|stat_text                        = +(12-16)% to Fire and [[Lightning Resistance|Lightning Resistances]]
|stat1_id                         = fire_and_lightning_damage_resistance_%
|stat1_min                        = 12
|stat1_max                        = 16
|tags                             = elemental, fire, lightning, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
