{{Mod
|id                               = DamageRemovedFromVoidSpawnsUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 97
|mod_groups                       = DamageRemovedFromMinion
|mod_type                         = DamageRemovedFromVoidSpawns
|game_mode                        = 0
|stat_text                        = (4-6)% of Damage from [[Hit|Hits]] is taken from Void Spawns' [[Life]] before you per Void Spawn
|stat1_id                         = damage_removed_from_void_spawns_before_life_or_es_per_void_spawns_%
|stat1_min                        = 4
|stat1_max                        = 6
|tags                             = minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
