{{Mod
|id                               = TravelSkillCooldownRecoveryUnique__1_
|mod_groups                       = CooldownRecovery
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = TravelSkillCooldownRecovery
|stat_text                        = (50-80)% increased Cooldown Recovery Rate of Travel [[Skill|Skills]]
|stat1_id                         = travel_skill_cooldown_speed_+%
|stat1_min                        = 50
|stat1_max                        = 80
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
