{{Mod
|id                               = SanctumSpecialSpellAddedChaosDamage
|mod_groups                       = SpellAddedChaosDamage
|domain                           = 32
|generation_type                  = 1
|required_level                   = 75
|name                             = Putrefying
|mod_type                         = SpellAddedChaosDamage
|stat_text                        = Adds (10-14) to (21-25) [[Chaos Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_chaos_damage
|stat1_min                        = 10
|stat1_max                        = 14
|stat2_id                         = spell_maximum_added_chaos_damage
|stat2_min                        = 21
|stat2_max                        = 25
|spawn_weight1_tag                = int_special_relic
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 250
|tags                             = caster_damage, chaos_damage, damage, chaos, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
