{{Mod
|id                               = GainManaOnKillingFrozenEnemyUnique__1
|mod_groups                       = GainManaOnKillingFrozenEnemy
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = GainManaOnKillingFrozenEnemy
|stat_text                        = +(20-25) [[Mana]] gained on Killing a [[Freeze|Frozen]] Enemy
|stat1_id                         = recover_X_mana_on_killing_frozen_enemy
|stat1_min                        = 20
|stat1_max                        = 25
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
